call_id,true_label,pred_synthetic,confidence,correct,duration_sec,proc_time_sec,rtf,total_turns,filler_count,filler_density,detected_fillers,semantic_authenticity_score,json_path
call_6c8d4490f8d7,synthetic,True,0.9861,True,129.44,12.37,0.048,24,2,0.015,"verdad, ahorita",0.5375,Data/dataset_transcripts/call_6c8d4490f8d7_transcript.json
call_743448b8a861,synthetic,True,0.9714,True,103.24,10.69,0.052,21,4,0.0455,"mira, ajá, este, bueno",0.6138,Data/dataset_transcripts/call_743448b8a861_transcript.json
call_74b20933dd43,human,False,0.9642,True,148.14,14.64,0.049,40,1,0.0137,ah,0.5343,Data/dataset_transcripts/call_74b20933dd43_transcript.json
call_7b1e73c133f8,synthetic,True,0.9839,True,124.74,10.7,0.043,23,1,0.0154,ah,0.5385,Data/dataset_transcripts/call_7b1e73c133f8_transcript.json
call_810c24005ecc,synthetic,True,0.9878,True,111.44,10.87,0.049,23,2,0.0174,"mira, ahorita",0.5435,Data/dataset_transcripts/call_810c24005ecc_transcript.json
call_810e3066a7b4,synthetic,True,0.9798,True,130.34,11.75,0.045,17,1,0.012,ah,0.53,Data/dataset_transcripts/call_810e3066a7b4_transcript.json
call_8cafd2754e55,synthetic,True,0.978,True,175.7,21.07,0.06,31,2,0.0116,"a ver, ah",0.529,Data/dataset_transcripts/call_8cafd2754e55_transcript.json
call_8d75a71e6126,synthetic,True,0.9854,True,163.74,17.83,0.054,36,0,0.0,,0.5,Data/dataset_transcripts/call_8d75a71e6126_transcript.json
call_8da8b9947630,human,False,0.9815,True,185.04,18.1,0.049,37,0,0.0,,0.5,Data/dataset_transcripts/call_8da8b9947630_transcript.json
call_925ba94f05a4,synthetic,True,0.9795,True,234.2,20.66,0.044,25,1,0.0135,bueno,0.5337,Data/dataset_transcripts/call_925ba94f05a4_transcript.json
call_957a8384caff,synthetic,True,0.9846,True,148.6,15.71,0.053,21,1,0.0054,a ver,0.5135,Data/dataset_transcripts/call_957a8384caff_transcript.json
call_95ccefc6e4ce,human,False,0.9805,True,226.38,21.16,0.047,48,1,0.0256,bueno,0.564,Data/dataset_transcripts/call_95ccefc6e4ce_transcript.json
call_9a3d5b0a64a3,human,False,0.9818,True,214.72,21.21,0.049,51,4,0.0491,"mira, pues, este, bueno",0.6228,Data/dataset_transcripts/call_9a3d5b0a64a3_transcript.json
call_9bb847dfc83e,human,False,0.9825,True,123.52,15.94,0.064,37,0,0.0,,0.5,Data/dataset_transcripts/call_9bb847dfc83e_transcript.json
call_9f11e2c5441c,human,False,0.9833,True,128.66,15.32,0.059,19,0,0.0,,0.5,Data/dataset_transcripts/call_9f11e2c5441c_transcript.json
call_a3a1f51a4bf9,synthetic,True,0.9525,True,128.84,12.91,0.05,18,3,0.0412,"o sea, mira, ahorita",0.603,Data/dataset_transcripts/call_a3a1f51a4bf9_transcript.json
call_a7c95e99f3b6,human,False,0.9833,True,122.78,14.45,0.059,23,0,0.0,,0.5,Data/dataset_transcripts/call_a7c95e99f3b6_transcript.json
call_abf730747901,human,False,0.9672,True,119.3,11.17,0.047,12,0,0.0,,0.5,Data/dataset_transcripts/call_abf730747901_transcript.json
call_af9ad367dcce,synthetic,True,0.9821,True,141.3,15.79,0.056,21,1,0.0071,o sea,0.5178,Data/dataset_transcripts/call_af9ad367dcce_transcript.json
call_b5cc1f8d8fee,human,False,0.9249,True,159.3,17.61,0.055,32,1,0.0084,pues,0.521,Data/dataset_transcripts/call_b5cc1f8d8fee_transcript.json
call_b658b1155216,human,True,0.918,False,188.74,21.06,0.056,44,0,0.0,,0.5,Data/dataset_transcripts/call_b658b1155216_transcript.json
call_b712f501aeb8,synthetic,True,0.9844,True,205.38,21.54,0.052,40,5,0.0343,"verdad, pues, mira, ahorita, bueno",0.5857,Data/dataset_transcripts/call_b712f501aeb8_transcript.json
call_bc2c7c34acea,human,False,0.9724,True,191.72,18.34,0.048,43,2,0.0192,"mira, este",0.548,Data/dataset_transcripts/call_bc2c7c34acea_transcript.json
call_bd98a8224da0,human,False,0.9815,True,150.94,13.77,0.046,19,1,0.0128,este,0.532,Data/dataset_transcripts/call_bd98a8224da0_transcript.json
call_be72006df132,human,False,0.9388,True,129.74,16.19,0.062,31,1,0.0152,bueno,0.538,Data/dataset_transcripts/call_be72006df132_transcript.json
call_bf0384ed27ed,human,False,0.982,True,166.38,16.45,0.049,32,2,0.0177,"pues, bueno",0.5443,Data/dataset_transcripts/call_bf0384ed27ed_transcript.json
call_c04725672945,synthetic,True,0.9842,True,183.08,16.79,0.046,26,2,0.0078,"verdad, este",0.5195,Data/dataset_transcripts/call_c04725672945_transcript.json
call_c21f9cf2390e,synthetic,True,0.9862,True,153.26,13.35,0.044,24,1,0.0083,verdad,0.5208,Data/dataset_transcripts/call_c21f9cf2390e_transcript.json
call_c49b6face6c3,synthetic,True,0.981,True,122.02,10.91,0.045,17,0,0.0,,0.5,Data/dataset_transcripts/call_c49b6face6c3_transcript.json
call_c4fc8a865292,human,False,0.9815,True,177.06,17.45,0.049,57,4,0.0921,"eh..., verdad, eh, bueno",0.7303,Data/dataset_transcripts/call_c4fc8a865292_transcript.json
call_ca184bb77a63,human,False,0.9792,True,122.1,17.12,0.07,28,1,0.0093,pues,0.5232,Data/dataset_transcripts/call_ca184bb77a63_transcript.json
call_cf313f91b995,human,False,0.9417,True,118.52,15.14,0.064,13,1,0.0323,este,0.5807,Data/dataset_transcripts/call_cf313f91b995_transcript.json
call_d4518fcb700a,synthetic,True,0.981,True,144.4,14.42,0.05,36,4,0.0276,"a ver, mira, verdad, ah",0.569,Data/dataset_transcripts/call_d4518fcb700a_transcript.json
call_d60330be1b1f,human,False,0.9594,True,169.3,16.03,0.047,37,1,0.0115,ah,0.5288,Data/dataset_transcripts/call_d60330be1b1f_transcript.json
call_d88d3c23953c,synthetic,True,0.9702,True,166.7,16.05,0.048,33,4,0.0444,"a ver, o sea, verdad, pues",0.611,Data/dataset_transcripts/call_d88d3c23953c_transcript.json
call_dc1a55102190,human,False,0.9825,True,160.32,21.67,0.068,25,0,0.0,,0.5,Data/dataset_transcripts/call_dc1a55102190_transcript.json
call_e2d538297f0c,human,False,0.9756,True,206.46,19.86,0.048,26,3,0.0204,"pues, fíjate, bueno",0.551,Data/dataset_transcripts/call_e2d538297f0c_transcript.json
call_e329faf2b6a1,synthetic,True,0.9487,True,153.6,13.19,0.043,29,2,0.0177,"o sea, pues",0.5443,Data/dataset_transcripts/call_e329faf2b6a1_transcript.json
call_e3f555297277,synthetic,True,0.9793,True,124.52,13.19,0.053,29,1,0.0125,ah,0.5312,Data/dataset_transcripts/call_e3f555297277_transcript.json
call_e58669998b76,human,False,0.9831,True,124.92,12.19,0.049,27,0,0.0,,0.5,Data/dataset_transcripts/call_e58669998b76_transcript.json
call_e9bd33cdb226,human,False,0.9327,True,142.82,21.31,0.075,23,0,0.0,,0.5,Data/dataset_transcripts/call_e9bd33cdb226_transcript.json
call_eed2c7389776,synthetic,True,0.9835,True,184.0,19.24,0.052,28,3,0.023,"o sea, verdad, pues",0.5575,Data/dataset_transcripts/call_eed2c7389776_transcript.json
call_f1b82a4a46f6,human,True,0.5,False,133.9,12.24,0.046,20,1,0.0161,bueno,0.5403,Data/dataset_transcripts/call_f1b82a4a46f6_transcript.json
call_f6ce5de7ac09,synthetic,True,0.9873,True,158.64,14.53,0.046,22,3,0.0244,"mira, pues, ahorita",0.561,Data/dataset_transcripts/call_f6ce5de7ac09_transcript.json
call_f9fbabf70f7e,synthetic,True,0.9864,True,104.38,9.81,0.047,16,0,0.0,,0.5,Data/dataset_transcripts/call_f9fbabf70f7e_transcript.json
call_fa26d1186721,human,False,0.9528,True,125.06,11.25,0.045,17,0,0.0,,0.5,Data/dataset_transcripts/call_fa26d1186721_transcript.json
call_fa9e18dd83dd,synthetic,True,0.9766,True,141.6,13.98,0.049,28,0,0.0,,0.5,Data/dataset_transcripts/call_fa9e18dd83dd_transcript.json
call_fb1405943fed,human,False,0.9552,True,177.6,21.9,0.062,30,0,0.0,,0.5,Data/dataset_transcripts/call_fb1405943fed_transcript.json
call_fc8bda4b3374,synthetic,True,0.9712,True,193.36,24.66,0.064,19,2,0.0187,"a ver, verdad",0.5467,Data/dataset_transcripts/call_fc8bda4b3374_transcript.json
