audio_id,ground_truth,duration_s,rawnet2_score,rawnet2_prediction,rawnet2_is_correct,rawnet2_latency_ms,aasistl_score,aasistl_prediction,aasistl_is_correct,aasistl_latency_ms
call_58ed2170e352,human,30.0,0.2,SYNTHETIC,False,110.64,52.1,HUMAN,True,928.67
call_5e4539a471f6,synthetic,26.07,0.2,SYNTHETIC,True,134.62,50.3,HUMAN,False,884.97
call_6058d9c5c82f,synthetic,31.12,0.2,SYNTHETIC,True,150.29,47.0,SYNTHETIC,True,976.03
call_64637c20ee66,human,57.15,0.2,SYNTHETIC,False,177.86,52.0,HUMAN,True,1154.42
call_678ee1dd2242,human,49.82,0.2,SYNTHETIC,False,148.15,53.2,HUMAN,True,1184.27
call_6971b2685c1d,human,19.99,0.2,SYNTHETIC,False,263.6,53.9,HUMAN,True,1008.35
call_6c8d4490f8d7,synthetic,44.63,0.2,SYNTHETIC,True,234.0,45.2,SYNTHETIC,True,949.64
call_743448b8a861,synthetic,26.96,0.2,SYNTHETIC,True,413.26,43.4,SYNTHETIC,True,901.78
call_74b20933dd43,human,45.79,0.2,SYNTHETIC,False,119.89,52.7,HUMAN,True,735.68
call_7b1e73c133f8,synthetic,23.24,0.2,SYNTHETIC,True,126.82,44.7,SYNTHETIC,True,757.26
call_810c24005ecc,synthetic,30.8,0.2,SYNTHETIC,True,176.12,46.3,SYNTHETIC,True,754.9
call_810e3066a7b4,synthetic,25.84,0.2,SYNTHETIC,True,233.15,49.3,SYNTHETIC,True,957.69
call_8cafd2754e55,synthetic,46.22,0.2,SYNTHETIC,True,235.03,42.7,SYNTHETIC,True,917.68
call_8d75a71e6126,synthetic,46.01,0.2,SYNTHETIC,True,236.92,44.1,SYNTHETIC,True,895.54
call_8da8b9947630,human,31.15,0.2,SYNTHETIC,False,233.22,53.1,HUMAN,True,859.19
call_925ba94f05a4,synthetic,66.2,0.2,SYNTHETIC,True,194.03,48.5,SYNTHETIC,True,865.3
call_957a8384caff,synthetic,54.13,0.2,SYNTHETIC,True,193.98,48.4,SYNTHETIC,True,625.03
call_95ccefc6e4ce,human,56.93,0.2,SYNTHETIC,False,231.4,49.5,SYNTHETIC,False,676.81
call_9a3d5b0a64a3,human,62.48,0.2,SYNTHETIC,False,208.97,49.3,SYNTHETIC,False,837.98
call_9bb847dfc83e,human,20.72,0.2,SYNTHETIC,False,217.75,51.5,HUMAN,True,929.93
call_9f11e2c5441c,human,35.27,0.2,SYNTHETIC,False,231.6,51.2,HUMAN,True,873.7
call_a3a1f51a4bf9,synthetic,27.84,0.2,SYNTHETIC,True,158.98,44.2,SYNTHETIC,True,952.39
call_a7c95e99f3b6,human,35.57,0.2,SYNTHETIC,False,194.04,51.1,HUMAN,True,946.09
call_abf730747901,human,27.06,0.2,SYNTHETIC,False,141.78,52.8,HUMAN,True,867.11
call_af9ad367dcce,synthetic,44.66,0.2,SYNTHETIC,True,280.81,46.8,SYNTHETIC,True,1150.63
call_b5cc1f8d8fee,human,41.95,0.2,SYNTHETIC,False,275.72,47.5,SYNTHETIC,False,1029.43
call_b658b1155216,human,45.53,0.2,SYNTHETIC,False,246.06,50.0,HUMAN,True,1115.02
call_b712f501aeb8,synthetic,65.06,0.2,SYNTHETIC,True,418.89,45.8,SYNTHETIC,True,1096.21
call_bc2c7c34acea,human,32.93,0.2,SYNTHETIC,False,376.5,51.4,HUMAN,True,1009.04
call_bd98a8224da0,human,34.31,0.2,SYNTHETIC,False,420.62,51.6,HUMAN,True,1149.09
call_be72006df132,human,25.2,0.2,SYNTHETIC,False,446.4,46.4,SYNTHETIC,False,1039.71
call_bf0384ed27ed,human,43.28,0.2,SYNTHETIC,False,317.96,48.1,SYNTHETIC,False,938.13
call_c04725672945,synthetic,71.35,0.2,SYNTHETIC,True,210.65,47.1,SYNTHETIC,True,685.12
call_c21f9cf2390e,synthetic,37.6,0.2,SYNTHETIC,True,470.1,44.0,SYNTHETIC,True,938.42
call_c49b6face6c3,synthetic,24.02,0.2,SYNTHETIC,True,236.66,49.1,SYNTHETIC,True,664.56
call_c4fc8a865292,human,48.66,0.2,SYNTHETIC,False,110.73,47.9,SYNTHETIC,False,781.5
call_ca184bb77a63,human,60.74,0.2,SYNTHETIC,False,86.44,50.1,HUMAN,True,1005.75
call_cf313f91b995,human,118.52,0.2,SYNTHETIC,False,128.48,54.0,HUMAN,True,854.81
call_d4518fcb700a,synthetic,144.4,0.2,SYNTHETIC,True,253.29,54.0,HUMAN,False,1153.45
call_d60330be1b1f,human,169.3,0.2,SYNTHETIC,False,274.06,54.0,HUMAN,True,1251.87
call_d88d3c23953c,synthetic,166.7,0.2,SYNTHETIC,True,238.15,54.0,HUMAN,False,1107.3
call_dc1a55102190,human,160.32,0.2,SYNTHETIC,False,177.66,53.0,HUMAN,True,977.77
call_e2d538297f0c,human,206.46,0.2,SYNTHETIC,False,212.16,47.8,SYNTHETIC,False,1064.51
call_e329faf2b6a1,synthetic,153.6,0.2,SYNTHETIC,True,209.64,51.7,HUMAN,False,795.56
call_e3f555297277,synthetic,124.52,0.2,SYNTHETIC,True,213.42,52.6,HUMAN,False,940.35
call_e58669998b76,human,124.92,0.2,SYNTHETIC,False,187.12,53.4,HUMAN,True,1114.65
call_e9bd33cdb226,human,142.82,0.2,SYNTHETIC,False,176.42,54.0,HUMAN,True,942.52
call_eed2c7389776,synthetic,184.0,0.2,SYNTHETIC,True,161.1,43.0,SYNTHETIC,True,790.17
call_f1b82a4a46f6,human,133.9,0.2,SYNTHETIC,False,269.17,53.0,HUMAN,True,928.68
call_f6ce5de7ac09,synthetic,158.64,0.2,SYNTHETIC,True,211.04,53.1,HUMAN,False,912.1
call_f9fbabf70f7e,synthetic,104.38,0.2,SYNTHETIC,True,257.48,49.8,SYNTHETIC,True,770.68
call_fa26d1186721,human,125.06,0.2,SYNTHETIC,False,137.63,54.0,HUMAN,True,784.66
call_fa9e18dd83dd,synthetic,141.6,0.2,SYNTHETIC,True,256.28,54.0,HUMAN,False,413.41
call_fb1405943fed,human,177.6,0.2,SYNTHETIC,False,170.04,50.7,HUMAN,True,302.91
call_fc8bda4b3374,synthetic,193.36,0.2,SYNTHETIC,True,121.91,49.3,SYNTHETIC,True,251.3
