call_id,file_path,duration_s,caller_speech_s,speech_turns,is_synthetic,confidence,verdict,latency_ms,ground_truth,correct
call_2d4374d86df7,Data/audio/test/call_2d4374d86df7.wav,172.18,162.92,7,False,0.1319,HUMAN,346.8,SYNTHETIC,False
call_36d72e4b1aef,Data/audio/test/call_36d72e4b1aef.wav,142.92,42.15,9,True,0.5748,SYNTHETIC,517.18,SYNTHETIC,True
call_36d72e4b1aef,Data/audio/test/call_36d72e4b1aef.wav,142.92,42.15,9,True,0.5748,SYNTHETIC,348.16,SYNTHETIC,True
call_3b9afdd4a2df,Data/audio/test/call_3b9afdd4a2df.wav,156.28,30.92,23,False,0.0437,HUMAN,404.57,HUMAN,True
call_3b9afdd4a2df,Data/audio/test/call_3b9afdd4a2df.wav,156.28,30.92,23,False,0.0437,HUMAN,359.57,HUMAN,True
call_47bef2f628eb,Data/audio/test/call_47bef2f628eb.wav,145.9,37.1,18,False,0.019,HUMAN,423.0,HUMAN,True
call_47bef2f628eb,Data/audio/test/call_47bef2f628eb.wav,145.9,37.1,18,False,0.019,HUMAN,320.45,HUMAN,True
call_4affad158a4c,Data/audio/test/call_4affad158a4c.wav,164.7,36.85,10,True,0.5812,SYNTHETIC,426.0,SYNTHETIC,True
call_4affad158a4c,Data/audio/test/call_4affad158a4c.wav,164.7,36.85,10,True,0.5812,SYNTHETIC,531.06,SYNTHETIC,True
call_569ffb0869eb,Data/audio/test/call_569ffb0869eb.wav,134.38,37.3,12,False,0.0165,HUMAN,456.58,HUMAN,True
call_569ffb0869eb,Data/audio/test/call_569ffb0869eb.wav,134.38,37.3,12,False,0.0165,HUMAN,397.53,HUMAN,True
call_58ed2170e352,Data/audio/test/call_58ed2170e352.wav,133.64,34.34,14,False,0.02,HUMAN,421.64,HUMAN,True
call_58ed2170e352,Data/audio/test/call_58ed2170e352.wav,133.64,34.34,14,False,0.02,HUMAN,359.27,HUMAN,True
call_5e4539a471f6,Data/audio/test/call_5e4539a471f6.wav,96.24,92.96,4,True,0.6192,SYNTHETIC,482.98,SYNTHETIC,True
call_5e4539a471f6,Data/audio/test/call_5e4539a471f6.wav,96.24,92.96,4,True,0.6192,SYNTHETIC,389.56,SYNTHETIC,True
call_6058d9c5c82f,Data/audio/test/call_6058d9c5c82f.wav,153.18,34.25,13,True,0.5025,SYNTHETIC,619.09,SYNTHETIC,True
call_6058d9c5c82f,Data/audio/test/call_6058d9c5c82f.wav,153.18,34.25,13,True,0.5025,SYNTHETIC,444.44,SYNTHETIC,True
call_64637c20ee66,Data/audio/test/call_64637c20ee66.wav,146.64,47.25,28,False,0.0168,HUMAN,448.23,HUMAN,True
call_64637c20ee66,Data/audio/test/call_64637c20ee66.wav,146.64,47.25,28,False,0.0168,HUMAN,509.11,HUMAN,True
call_678ee1dd2242,Data/audio/test/call_678ee1dd2242.wav,166.7,51.29,11,False,0.0281,HUMAN,511.87,HUMAN,True
call_678ee1dd2242,Data/audio/test/call_678ee1dd2242.wav,166.7,51.29,11,False,0.0281,HUMAN,393.96,HUMAN,True
call_6971b2685c1d,Data/audio/test/call_6971b2685c1d.wav,97.42,23.11,7,False,0.0301,HUMAN,359.23,HUMAN,True
call_6971b2685c1d,Data/audio/test/call_6971b2685c1d.wav,97.42,23.11,7,False,0.0301,HUMAN,337.09,HUMAN,True
call_6c8d4490f8d7,Data/audio/test/call_6c8d4490f8d7.wav,129.44,46.99,8,True,0.5394,SYNTHETIC,415.64,SYNTHETIC,True
call_6c8d4490f8d7,Data/audio/test/call_6c8d4490f8d7.wav,129.44,46.99,8,True,0.5394,SYNTHETIC,435.85,SYNTHETIC,True
call_743448b8a861,Data/audio/test/call_743448b8a861.wav,103.24,31.98,15,True,0.9625,SYNTHETIC,357.68,SYNTHETIC,True
call_743448b8a861,Data/audio/test/call_743448b8a861.wav,103.24,31.98,15,True,0.9625,SYNTHETIC,340.86,SYNTHETIC,True
call_74b20933dd43,Data/audio/test/call_74b20933dd43.wav,148.14,38.75,27,False,0.0315,HUMAN,398.43,HUMAN,True
call_74b20933dd43,Data/audio/test/call_74b20933dd43.wav,148.14,38.75,27,False,0.0315,HUMAN,411.88,HUMAN,True
call_7b1e73c133f8,Data/audio/test/call_7b1e73c133f8.wav,124.74,26.61,8,True,0.529,SYNTHETIC,370.38,SYNTHETIC,True
call_7b1e73c133f8,Data/audio/test/call_7b1e73c133f8.wav,124.74,26.61,8,True,0.529,SYNTHETIC,444.34,SYNTHETIC,True
call_810c24005ecc,Data/audio/test/call_810c24005ecc.wav,111.44,109.03,5,True,0.8301,SYNTHETIC,351.77,SYNTHETIC,True
call_810c24005ecc,Data/audio/test/call_810c24005ecc.wav,111.44,109.03,5,True,0.8301,SYNTHETIC,310.42,SYNTHETIC,True
call_810e3066a7b4,Data/audio/test/call_810e3066a7b4.wav,130.34,28.3,12,True,0.4554,SYNTHETIC,351.21,SYNTHETIC,True
call_810e3066a7b4,Data/audio/test/call_810e3066a7b4.wav,130.34,28.3,12,True,0.4554,SYNTHETIC,306.39,SYNTHETIC,True
call_8cafd2754e55,Data/audio/test/call_8cafd2754e55.wav,175.7,51.38,11,True,0.9733,SYNTHETIC,405.01,SYNTHETIC,True
call_8cafd2754e55,Data/audio/test/call_8cafd2754e55.wav,175.7,51.38,11,True,0.9733,SYNTHETIC,411.05,SYNTHETIC,True
call_8d75a71e6126,Data/audio/test/call_8d75a71e6126.wav,163.74,49.5,12,True,0.5117,SYNTHETIC,427.7,SYNTHETIC,True
call_8d75a71e6126,Data/audio/test/call_8d75a71e6126.wav,163.74,49.5,12,True,0.5117,SYNTHETIC,340.77,SYNTHETIC,True
call_8da8b9947630,Data/audio/test/call_8da8b9947630.wav,185.04,33.42,14,False,0.0172,HUMAN,408.28,HUMAN,True
call_8da8b9947630,Data/audio/test/call_8da8b9947630.wav,185.04,33.42,14,False,0.0172,HUMAN,458.72,HUMAN,True
call_925ba94f05a4,Data/audio/test/call_925ba94f05a4.wav,234.2,207.16,33,True,0.656,SYNTHETIC,538.03,SYNTHETIC,True
call_925ba94f05a4,Data/audio/test/call_925ba94f05a4.wav,234.2,207.16,33,True,0.656,SYNTHETIC,486.82,SYNTHETIC,True
call_957a8384caff,Data/audio/test/call_957a8384caff.wav,148.6,56.51,10,False,0.3175,HUMAN,371.34,SYNTHETIC,False
call_957a8384caff,Data/audio/test/call_957a8384caff.wav,148.6,56.51,10,False,0.3175,HUMAN,325.3,SYNTHETIC,False
call_95ccefc6e4ce,Data/audio/test/call_95ccefc6e4ce.wav,226.38,60.86,18,False,0.018,HUMAN,461.41,HUMAN,True
call_95ccefc6e4ce,Data/audio/test/call_95ccefc6e4ce.wav,226.38,60.86,18,False,0.018,HUMAN,488.14,HUMAN,True
call_9a3d5b0a64a3,Data/audio/test/call_9a3d5b0a64a3.wav,214.72,68.76,21,False,0.0177,HUMAN,461.17,HUMAN,True
call_9a3d5b0a64a3,Data/audio/test/call_9a3d5b0a64a3.wav,214.72,68.76,21,False,0.0177,HUMAN,398.41,HUMAN,True
call_9bb847dfc83e,Data/audio/test/call_9bb847dfc83e.wav,123.52,24.61,12,False,0.0168,HUMAN,534.58,HUMAN,True
call_9bb847dfc83e,Data/audio/test/call_9bb847dfc83e.wav,123.52,24.61,12,False,0.0168,HUMAN,290.2,HUMAN,True
call_9f11e2c5441c,Data/audio/test/call_9f11e2c5441c.wav,128.66,33.26,18,False,0.0179,HUMAN,344.25,HUMAN,True
call_9f11e2c5441c,Data/audio/test/call_9f11e2c5441c.wav,128.66,33.26,18,False,0.0179,HUMAN,478.85,HUMAN,True
call_a3a1f51a4bf9,Data/audio/test/call_a3a1f51a4bf9.wav,128.84,30.99,10,True,0.5224,SYNTHETIC,363.13,SYNTHETIC,True
call_a3a1f51a4bf9,Data/audio/test/call_a3a1f51a4bf9.wav,128.84,30.99,10,True,0.5224,SYNTHETIC,307.79,SYNTHETIC,True
call_a7c95e99f3b6,Data/audio/test/call_a7c95e99f3b6.wav,122.78,38.34,26,False,0.0182,HUMAN,335.82,HUMAN,True
call_a7c95e99f3b6,Data/audio/test/call_a7c95e99f3b6.wav,122.78,38.34,26,False,0.0182,HUMAN,299.9,HUMAN,True
call_abf730747901,Data/audio/test/call_abf730747901.wav,119.3,29.41,16,False,0.0194,HUMAN,323.43,HUMAN,True
call_abf730747901,Data/audio/test/call_abf730747901.wav,119.3,29.41,16,False,0.0194,HUMAN,314.26,HUMAN,True
call_af9ad367dcce,Data/audio/test/call_af9ad367dcce.wav,141.3,48.3,7,True,0.9821,SYNTHETIC,364.19,SYNTHETIC,True
call_af9ad367dcce,Data/audio/test/call_af9ad367dcce.wav,141.3,48.3,7,True,0.9821,SYNTHETIC,353.11,SYNTHETIC,True
call_b5cc1f8d8fee,Data/audio/test/call_b5cc1f8d8fee.wav,159.3,43.83,25,False,0.0199,HUMAN,428.28,HUMAN,True
call_b5cc1f8d8fee,Data/audio/test/call_b5cc1f8d8fee.wav,159.3,43.83,25,False,0.0199,HUMAN,491.58,HUMAN,True
call_b658b1155216,Data/audio/test/call_b658b1155216.wav,188.74,47.11,23,False,0.0657,HUMAN,577.9,HUMAN,True
call_b658b1155216,Data/audio/test/call_b658b1155216.wav,188.74,47.11,23,False,0.0657,HUMAN,502.94,HUMAN,True
call_b712f501aeb8,Data/audio/test/call_b712f501aeb8.wav,205.38,198.46,9,True,0.5749,SYNTHETIC,641.02,SYNTHETIC,True
call_b712f501aeb8,Data/audio/test/call_b712f501aeb8.wav,205.38,198.46,9,True,0.5749,SYNTHETIC,510.36,SYNTHETIC,True
call_bc2c7c34acea,Data/audio/test/call_bc2c7c34acea.wav,191.72,36.73,17,True,0.4135,SYNTHETIC,544.46,HUMAN,False
call_bc2c7c34acea,Data/audio/test/call_bc2c7c34acea.wav,191.72,36.73,17,True,0.4135,SYNTHETIC,508.54,HUMAN,False
call_bd98a8224da0,Data/audio/test/call_bd98a8224da0.wav,150.94,39.8,21,False,0.0181,HUMAN,370.94,HUMAN,True
call_bd98a8224da0,Data/audio/test/call_bd98a8224da0.wav,150.94,39.8,21,False,0.0181,HUMAN,338.19,HUMAN,True
call_be72006df132,Data/audio/test/call_be72006df132.wav,129.74,28.08,18,False,0.0187,HUMAN,359.85,HUMAN,True
call_be72006df132,Data/audio/test/call_be72006df132.wav,129.74,28.08,18,False,0.0187,HUMAN,2106.03,HUMAN,True
call_bf0384ed27ed,Data/audio/test/call_bf0384ed27ed.wav,166.38,50.5,21,False,0.0431,HUMAN,395.35,HUMAN,True
call_bf0384ed27ed,Data/audio/test/call_bf0384ed27ed.wav,166.38,50.5,21,False,0.0431,HUMAN,351.89,HUMAN,True
call_c04725672945,Data/audio/test/call_c04725672945.wav,183.08,74.9,10,False,0.0244,HUMAN,464.06,SYNTHETIC,False
call_c04725672945,Data/audio/test/call_c04725672945.wav,183.08,74.9,10,False,0.0244,HUMAN,371.19,SYNTHETIC,False
call_c21f9cf2390e,Data/audio/test/call_c21f9cf2390e.wav,153.26,44.53,12,False,0.2766,HUMAN,356.8,SYNTHETIC,False
call_c21f9cf2390e,Data/audio/test/call_c21f9cf2390e.wav,153.26,44.53,12,False,0.2766,HUMAN,335.28,SYNTHETIC,False
call_c49b6face6c3,Data/audio/test/call_c49b6face6c3.wav,122.02,26.67,8,True,0.5201,SYNTHETIC,362.44,SYNTHETIC,True
call_c49b6face6c3,Data/audio/test/call_c49b6face6c3.wav,122.02,26.67,8,True,0.5201,SYNTHETIC,300.16,SYNTHETIC,True
call_c4fc8a865292,Data/audio/test/call_c4fc8a865292.wav,177.06,53.9,24,False,0.0177,HUMAN,478.78,HUMAN,True
call_c4fc8a865292,Data/audio/test/call_c4fc8a865292.wav,177.06,53.9,24,False,0.0177,HUMAN,335.35,HUMAN,True
call_ca184bb77a63,Data/audio/test/call_ca184bb77a63.wav,122.1,58.79,21,False,0.0281,HUMAN,338.16,HUMAN,True
call_ca184bb77a63,Data/audio/test/call_ca184bb77a63.wav,122.1,58.79,21,False,0.0281,HUMAN,298.79,HUMAN,True
call_cf313f91b995,Data/audio/test/call_cf313f91b995.wav,118.52,24.33,9,False,0.0184,HUMAN,420.44,HUMAN,True
call_cf313f91b995,Data/audio/test/call_cf313f91b995.wav,118.52,24.33,9,False,0.0184,HUMAN,294.26,HUMAN,True
call_d4518fcb700a,Data/audio/test/call_d4518fcb700a.wav,144.4,58.26,8,True,0.5272,SYNTHETIC,366.46,SYNTHETIC,True
call_d4518fcb700a,Data/audio/test/call_d4518fcb700a.wav,144.4,58.26,8,True,0.5272,SYNTHETIC,380.29,SYNTHETIC,True
call_d60330be1b1f,Data/audio/test/call_d60330be1b1f.wav,169.3,42.3,14,False,0.0175,HUMAN,467.13,HUMAN,True
call_d60330be1b1f,Data/audio/test/call_d60330be1b1f.wav,169.3,42.3,14,False,0.0175,HUMAN,360.54,HUMAN,True
call_d88d3c23953c,Data/audio/test/call_d88d3c23953c.wav,166.7,47.38,12,True,0.5403,SYNTHETIC,381.07,SYNTHETIC,True
call_d88d3c23953c,Data/audio/test/call_d88d3c23953c.wav,166.7,47.38,12,True,0.5403,SYNTHETIC,389.18,SYNTHETIC,True
call_dc1a55102190,Data/audio/test/call_dc1a55102190.wav,160.32,36.26,15,False,0.0167,HUMAN,368.9,HUMAN,True
call_dc1a55102190,Data/audio/test/call_dc1a55102190.wav,160.32,36.26,15,False,0.0167,HUMAN,339.4,HUMAN,True
call_e2d538297f0c,Data/audio/test/call_e2d538297f0c.wav,206.46,66.42,19,False,0.0182,HUMAN,469.23,HUMAN,True
call_e2d538297f0c,Data/audio/test/call_e2d538297f0c.wav,206.46,66.42,19,False,0.0182,HUMAN,426.1,HUMAN,True
call_e329faf2b6a1,Data/audio/test/call_e329faf2b6a1.wav,153.6,41.72,9,True,0.4992,SYNTHETIC,432.67,SYNTHETIC,True
call_e329faf2b6a1,Data/audio/test/call_e329faf2b6a1.wav,153.6,41.72,9,True,0.4992,SYNTHETIC,473.83,SYNTHETIC,True
call_e3f555297277,Data/audio/test/call_e3f555297277.wav,124.52,28.17,9,True,0.5518,SYNTHETIC,465.83,SYNTHETIC,True
call_e3f555297277,Data/audio/test/call_e3f555297277.wav,124.52,28.17,9,True,0.5518,SYNTHETIC,311.45,SYNTHETIC,True
call_e58669998b76,Data/audio/test/call_e58669998b76.wav,124.92,32.55,13,False,0.0179,HUMAN,369.11,HUMAN,True
call_e58669998b76,Data/audio/test/call_e58669998b76.wav,124.92,32.55,13,False,0.0179,HUMAN,317.88,HUMAN,True
call_e9bd33cdb226,Data/audio/test/call_e9bd33cdb226.wav,142.82,33.0,17,False,0.0196,HUMAN,364.53,HUMAN,True
call_e9bd33cdb226,Data/audio/test/call_e9bd33cdb226.wav,142.82,33.0,17,False,0.0196,HUMAN,365.36,HUMAN,True
call_eed2c7389776,Data/audio/test/call_eed2c7389776.wav,184.0,47.69,11,True,0.5437,SYNTHETIC,444.82,SYNTHETIC,True
call_eed2c7389776,Data/audio/test/call_eed2c7389776.wav,184.0,47.69,11,True,0.5437,SYNTHETIC,372.27,SYNTHETIC,True
call_f1b82a4a46f6,Data/audio/test/call_f1b82a4a46f6.wav,133.9,32.63,13,False,0.0161,HUMAN,363.74,HUMAN,True
call_f1b82a4a46f6,Data/audio/test/call_f1b82a4a46f6.wav,133.9,32.63,13,False,0.0161,HUMAN,317.25,HUMAN,True
call_f6ce5de7ac09,Data/audio/test/call_f6ce5de7ac09.wav,158.64,42.78,12,True,0.9786,SYNTHETIC,389.28,SYNTHETIC,True
call_f6ce5de7ac09,Data/audio/test/call_f6ce5de7ac09.wav,158.64,42.78,12,True,0.9786,SYNTHETIC,343.52,SYNTHETIC,True
call_f9fbabf70f7e,Data/audio/test/call_f9fbabf70f7e.wav,104.38,38.72,10,True,0.6246,SYNTHETIC,547.58,SYNTHETIC,True
call_f9fbabf70f7e,Data/audio/test/call_f9fbabf70f7e.wav,104.38,38.72,10,True,0.6246,SYNTHETIC,298.81,SYNTHETIC,True
call_fa26d1186721,Data/audio/test/call_fa26d1186721.wav,125.06,28.59,10,False,0.0196,HUMAN,332.39,HUMAN,True
call_fa26d1186721,Data/audio/test/call_fa26d1186721.wav,125.06,28.59,10,False,0.0196,HUMAN,344.15,HUMAN,True
call_fa9e18dd83dd,Data/audio/test/call_fa9e18dd83dd.wav,141.6,44.07,7,True,0.4883,SYNTHETIC,369.55,SYNTHETIC,True
call_fa9e18dd83dd,Data/audio/test/call_fa9e18dd83dd.wav,141.6,44.07,7,True,0.4883,SYNTHETIC,460.66,SYNTHETIC,True
call_fb1405943fed,Data/audio/test/call_fb1405943fed.wav,177.6,36.68,21,False,0.0182,HUMAN,469.74,HUMAN,True
call_fb1405943fed,Data/audio/test/call_fb1405943fed.wav,177.6,36.68,21,False,0.0182,HUMAN,360.19,HUMAN,True
call_fc8bda4b3374,Data/audio/test/call_fc8bda4b3374.wav,193.36,37.82,12,True,0.4548,SYNTHETIC,447.03,SYNTHETIC,True
call_fc8bda4b3374,Data/audio/test/call_fc8bda4b3374.wav,193.36,37.82,12,True,0.4548,SYNTHETIC,456.54,SYNTHETIC,True
